"0x003D","0x00D1","master","mx98715/25","i740 PCI"
"0x0E11","0x0001","Compaq Computer Corp.","","PCI to EISA Bridge"
"0x0E11","0x0002","Compaq Computer Corp.","ISA Bridge","www.pcidatabase.com/vendor_details.php?id%256"
"0x0E11","0x000F","Compaq Computer Corp.","CPQB1A9","StorageWorks Library Adapter (HVD)"
"0x0E11","0x0012","Compaq Computer Corp.","686P7","686P7"
"0x0E11","0x0049","Compaq Computer Corp.","NC7132","Gigabit Upgrade Module"
"0x0E11","0x004A","Compaq Computer Corp.","NC6136","Gigabit Server Adapter"
"0x0E11","0x00C0","Compaq Computer Corp.","Adaptec AIC-7899G","64Bit,66MHz,Dual Channel WideUltra3 SCSI"
"0x0E11","0x0508","Compaq Computer Corp.","Neteligent 4/16 TR","PCI UTP/STP Controller"
"0x0E11","0x1000","Compaq Computer Corp.","Triflex Model 1000","Pentium Bridge"
"0x0E11","0x2000","Compaq Computer Corp.","Triflex Model 2000","Pentium Bridge"
"0x0E11","0x3032","Compaq Computer Corp.","QVision 1280/p v0","GUI Accelerator"
"0x0E11","0x3033","Compaq Computer Corp.","QVision 1280/p v1","GUI Accelerator"
"0x0E11","0x3034","Compaq Computer Corp.","QVision 1280/p v2","GUI Accelerator"
"0x0E11","0x4000","Compaq Computer Corp.","Triflex Model 4000","Pentium Bridge"
"0x0E11","0x6010","Compaq Computer Corp.","Model 6010","HotPlug PCI Bridge"
"0x0E11","0x7020","Compaq Computer Corp.","","USB Controller"
"0x0E11","0xA0EC","Compaq Computer Corp.","","Original Compaq fibre Channel HBA"
"0x0E11","0xA0F0","Compaq Computer Corp.","","Advanced System Management Controller"
"0x0E11","0xA0F3","Compaq Computer Corp.","","Triflex PCI to ISA PnP Bridge"
"0x0E11","0xA0F7","Compaq Computer Corp.","","PCI Hotplug Controller"
"0x0E11","0xA0F8","Compaq Computer Corp.","ZFMicro","USB Open Host Controller"
"0x0E11","0xA0FC","Compaq Computer Corp.","HPFC-5166A","Tachyon TL 64-bit/66-Mhz FC HBA"
"0x0E11","0xAe10","Compaq Computer Corp.","","Smart-2 Array Controller"
"0x0E11","0xAE29","Compaq Computer Corp.","MIS-L","PCI to ISA Bridge"
"0x0E11","0xAE2A","Compaq Computer Corp.","MPC","CPU to PCI Bridge"
"0x0E11","0xAE2B","Compaq Computer Corp.","MIS-E","PCI to ISA PnP Bridge"
"0x0E11","0xAE31","Compaq Computer Corp.","","System Management Controller"
"0x0E11","0xAE32","Compaq Computer Corp.","","Netelligent 10/100 TX PCI UTP TLAN 2.3"
"0x0E11","0xAE33","Compaq Computer Corp.","Triflex","Dual EIDE Controller"
"0x0E11","0xAE34","Compaq Computer Corp.","","Netelligent 10 T PCI UTP TLAN 2.3"
"0x0E11","0xAE35","Compaq Computer Corp.","","Integrated NetFlex 3/P TLAN 2.3"
"0x0E11","0xAE40","Compaq Computer Corp.","","Dual Port Netelligent 10/100 TX PCI TLAN"
"0x0E11","0xAE43","Compaq Computer Corp.","","Integrated Netelligent 10/100 TX PCI"
"0x0E11","0xAE69","Compaq Computer Corp.","CETUS-L","PCI to ISA Bridge"
"0x0E11","0xAE6C","Compaq Computer Corp.","DRACO","PCI Bridge"
"0x0E11","0xAE6D","Compaq Computer Corp.","NorthStar","CPU to PCI Bridge"
"0x0E11","0xB011","Compaq Computer Corp.","","Dual Port Netelligent 10/100 TX"
"0x0E11","0xB012","Compaq Computer Corp.","Netelligent 10 T/2","UTP/Coax PCI"
"0x0E11","0xB01E","Compaq Computer Corp.","NC3120","Fast Ethernet NIC"
"0x0E11","0xB01F","Compaq Computer Corp.","NC3122","Fast Ethernet NIC"
"0x0E11","0xB02F","Compaq Computer Corp.","NC1120","Ethernet NIC"
"0x0E11","0xB030","Compaq Computer Corp.","Netelligent WS 1500","10/100TX Embedded UTP/Coax Controller"
"0x0E11","0xB04A","Compaq Computer Corp.","699209-003","10/100TX WOL UTP Controller"
"0x0E11","0XB060","Compaq Computer Corp.","CISS","SMART2 Array Controller"
"0x0E11","0xB0C6","Compaq Computer Corp.","NC3161","Fast Ethernet Embedded Controller w/ WOL"
"0x0E11","0xB0C7","Compaq Computer Corp.","NC3160","Fast Ethernet NIC"
"0x0E11","0xB0D7","Compaq Computer Corp.","NC3121 rev. A & B","Fast Ethernet NIC"
"0x0E11","0xB0DD","Compaq Computer Corp.","NC3131","Fast Ethernet NIC"
"0x0E11","0xB0DE","Compaq Computer Corp.","NC3132","Fast Ethernet NIC"
"0x0E11","0xB0DF","Compaq Computer Corp.","NC6132","Gigabit Module"
"0x0E11","0xB0E0","Compaq Computer Corp.","NC6133","Gigabit Module"
